model_family,sample_id,sample_type,answer_text,has_stage1_ab_mask,clean_exact_answer,decoded_changed,rank_delta_wrong_minus_clean,target_logit_drop_clean_minus_wrong,strong_case_score,annotation_priority,question_text
gemma,okvqa_val_4131725,text_object_binding,no left turn,0,0,1,125661.0,23.96875,6314.01875,medium,What does the white sign with the arrow mean?
gemma,okvqa_val_00497,local_context_inference,surfer,0,0,1,84899.0,17.5390625,4269.4890625,medium,Who invented this kind of suit?
gemma,okvqa_val_03909,comparison_reasoning,bat helmet,0,0,1,59821.0,12.109375,3010.159375,medium,Which type of helmet is used by the sport person shown in this picture?
gemma,okvqa_val_4999035,text_object_binding,flower,0,0,1,20175.0,20.34375,1036.09375,medium,What are the designs in the grass likely made out of?
gemma,okvqa_val_01692,relation_reasoning,leaf,0,0,1,10002.0,8.875,515.975,medium,What do these animals eat?
qwen,okvqa_val_01692,relation_reasoning,leaf,0,0,1,4000.0,7.6875,214.6875,medium,What do these animals eat?
gemma,okvqa_val_03189,local_context_inference,balance,0,0,1,3998.0,1.625,208.525,medium,What is the purpose of the fin on the pink surfboard?
qwen,okvqa_val_01162,local_context_inference,tony hawk,0,0,1,2394.0,7.78125,134.48125,medium,Who is famous for this?
gemma,okvqa_val_01938,local_context_inference,bmw,0,0,1,1739.0,8.375,102.325,medium,Name the bike model shown in this picture?
gemma,okvqa_val_02363,local_context_inference,horse,0,0,1,1337.0,16.125,89.97500000000001,medium,These animals are closely related to what american animal?
qwen,okvqa_val_00497,local_context_inference,surfer,0,0,1,1588.0,0.171875,86.571875,medium,Who invented this kind of suit?
qwen,okvqa_val_4999035,text_object_binding,flower,0,0,0,1372.0,4.71875,76.31875000000001,medium,What are the designs in the grass likely made out of?
qwen,okvqa_val_03909,comparison_reasoning,bat helmet,0,0,1,844.0,2.3125,51.5125,medium,Which type of helmet is used by the sport person shown in this picture?
