model_family,group,sample_type,condition,n,ok_rows,format_ok_frac,empty_answer_frac,target_rank_mean,target_rank_median,target_top1_frac,target_top10_frac,target_logit_mean,target_margin_mean
gemma,condition,ALL,clean,40,40,0.925,0.075,7242.625,159.5,0.025,0.275,24.56875,-23.85625
gemma,condition,ALL,wrong_image,40,40,0.925,0.075,24577.35,1072.5,0.05,0.1,15.4912109375,-31.5337890625
gemma,sample_type,comparison_reasoning,clean,10,10,0.9,0.1,1310.0,159.5,0.0,0.4,27.9375,-18.8875
gemma,sample_type,comparison_reasoning,wrong_image,10,10,0.9,0.1,23295.2,305.5,0.1,0.1,19.0234375,-27.6015625
gemma,sample_type,local_context_inference,clean,10,10,1.0,0.0,12913.8,57.5,0.1,0.2,23.884375,-24.140625
gemma,sample_type,local_context_inference,wrong_image,10,10,1.0,0.0,22407.7,1582.0,0.0,0.0,15.96171875,-32.31328125
gemma,sample_type,relation_reasoning,clean,10,10,0.8,0.2,14072.7,2130.5,0.0,0.2,18.996875,-29.628125
gemma,sample_type,relation_reasoning,wrong_image,10,10,0.9,0.1,27395.8,9691.5,0.0,0.1,11.434375,-32.740625
gemma,sample_type,text_object_binding,clean,10,10,1.0,0.0,674.0,187.5,0.0,0.3,27.45625,-22.76875
gemma,sample_type,text_object_binding,wrong_image,10,10,0.9,0.1,25210.7,1072.5,0.1,0.2,15.5453125,-33.4796875
qwen,condition,ALL,clean,40,40,1.0,0.0,227.075,3.5,0.35,0.675,14.8591796875,-2.5345703125
qwen,condition,ALL,wrong_image,40,40,0.975,0.025,1338.65,56.5,0.0,0.275,10.0314453125,-7.5138671875
qwen,sample_type,comparison_reasoning,clean,10,10,1.0,0.0,13.7,3.0,0.5,0.6,13.63125,-1.78125
qwen,sample_type,comparison_reasoning,wrong_image,10,10,1.0,0.0,737.2,119.5,0.0,0.4,8.871875,-6.771875
qwen,sample_type,local_context_inference,clean,10,10,1.0,0.0,875.1,3.5,0.3,0.8,14.09921875,-3.31328125
qwen,sample_type,local_context_inference,wrong_image,10,10,1.0,0.0,1363.1,118.0,0.0,0.2,8.81328125,-8.04921875
qwen,sample_type,relation_reasoning,clean,10,10,1.0,0.0,8.9,4.5,0.2,0.7,15.5625,-2.7125
qwen,sample_type,relation_reasoning,wrong_image,10,10,1.0,0.0,1048.9,63.5,0.0,0.2,10.0421875,-8.6765625
qwen,sample_type,text_object_binding,clean,10,10,1.0,0.0,10.6,2.0,0.4,0.6,16.14375,-2.33125
qwen,sample_type,text_object_binding,wrong_image,10,10,0.9,0.1,2205.4,22.5,0.0,0.3,12.3984375,-6.5578125
