model_family,sample_id,sample_type,answer_text,original_stage1_label,multi_evidence_supported_thresholds,dominant_label_across_thresholds,composition_effect_margin,union_damage_margin,max_single_damage_margin,random_union_damage_margin,wrong_image_damage_margin,recommended_use,question_text
gemma,okvqa_val_00310,relation_reasoning,view,one_region_dominated,0,one_region_dominated,-9.625,1.84375,11.46875,-1.53125,3.84375,annotation_or_diagnostic_only,How do we know that this bathroom is probably in a high rise building?
gemma,okvqa_val_00492,local_context_inference,sail,mixed_or_unclear,2,multi_evidence_supported,1.8125,6.125,4.3125,-1.875,17.75,mechanism_priority,What type of boat is this?
gemma,okvqa_val_00506,local_context_inference,teddy bear,one_region_dominated,0,one_region_dominated,-6.875,-1.75,5.125,4.625,5.625,annotation_or_diagnostic_only,Named after theodore roosevelt?
gemma,okvqa_val_00756,local_context_inference,world war 2,shortcut_prior_suspected,0,shortcut_prior_suspected,-8.0,-6.75,1.25,-0.75,-7.75,annotation_or_diagnostic_only,What war is this airplane associated with?
gemma,okvqa_val_00893,relation_reasoning,electricity,one_region_dominated,0,one_region_dominated,-2.25,19.4375,21.6875,19.90625,16.75,annotation_or_diagnostic_only,How does this train run?
gemma,okvqa_val_01199,relation_reasoning,wood,blocked,0,blocked,-13.640625,-12.90625,0.734375,-20.03125,3.28125,annotation_or_diagnostic_only,What is the typical habitat for these animals?
gemma,okvqa_val_01256,comparison_reasoning,williams,mixed_or_unclear,1,one_region_dominated,0.625,4.8125,4.1875,-1.0625,21.9375,annotation_or_diagnostic_only,Which fashion conscious sisters are famous for playing this game?
gemma,okvqa_val_01672,comparison_reasoning,mozzarella,shortcut_prior_suspected,0,shortcut_prior_suspected,-11.25,-9.5,1.75,-8.25,-1.75,annotation_or_diagnostic_only,What is the most common kind of cheese used in this dish?
gemma,okvqa_val_01960,relation_reasoning,sofa,one_region_dominated,0,shortcut_prior_suspected,-1.28125,0.28125,1.5625,5.1875,-7.21875,annotation_or_diagnostic_only,What kind of couch is that?
gemma,okvqa_val_02108,relation_reasoning,richard trevithick,one_region_dominated,0,one_region_dominated,-2.5,-0.625,1.875,-3.125,11.71875,annotation_or_diagnostic_only,Who invented the transportation device in this picture?
gemma,okvqa_val_04586,local_context_inference,star war,mixed_or_unclear,2,multi_evidence_supported,1.5,5.375,3.875,3.375,10.5,mechanism_priority,What other movie franchises has lego made playsets based on?
gemma,okvqa_val_1171125,comparison_reasoning,polyester,shortcut_prior_suspected,0,shortcut_prior_suspected,0.625,-2.25,-2.875,-7.0,-2.875,annotation_or_diagnostic_only,Which material is used for making the sofa set shown in this picture?
gemma,okvqa_val_1295955,text_object_binding,protest,multi_evidence_supported,3,multi_evidence_supported,3.375,5.1875,1.8125,-3.375,3.9375,mechanism_priority,Why would this person be holding this sign?
gemma,okvqa_val_1686835,comparison_reasoning,headphone,one_region_dominated,0,one_region_dominated,-0.5,15.625,16.125,4.25,15.125,annotation_or_diagnostic_only,Which item shown here is a compound word derived from the name of the human cranium and the telephone?
gemma,okvqa_val_258605,comparison_reasoning,cook,one_region_dominated,0,one_region_dominated,-4.0,0.25,4.25,0.875,29.09375,annotation_or_diagnostic_only,What is this room mostly used for?
qwen,okvqa_val_00310,relation_reasoning,view,multi_evidence_supported,2,multi_evidence_supported,1.8125,2.25,0.4375,-0.9375,8.0,mechanism_priority,How do we know that this bathroom is probably in a high rise building?
qwen,okvqa_val_00492,local_context_inference,sail,one_region_dominated,0,one_region_dominated,-0.875,1.625,2.5,2.0,10.625,annotation_or_diagnostic_only,What type of boat is this?
qwen,okvqa_val_00506,local_context_inference,teddy bear,one_region_dominated,0,one_region_dominated,-1.0,-1.0,0.0,-1.0,1.3125,annotation_or_diagnostic_only,Named after theodore roosevelt?
qwen,okvqa_val_00756,local_context_inference,world war 2,one_region_dominated,0,one_region_dominated,-0.875,-1.0,-0.125,-3.375,5.5625,annotation_or_diagnostic_only,What war is this airplane associated with?
qwen,okvqa_val_00893,relation_reasoning,electricity,multi_evidence_supported,2,multi_evidence_supported,1.25,6.4375,5.1875,1.1875,12.984375,mechanism_priority,How does this train run?
qwen,okvqa_val_01199,relation_reasoning,wood,one_region_dominated,0,one_region_dominated,-0.75,-2.9375,-2.1875,-1.9375,6.875,annotation_or_diagnostic_only,What is the typical habitat for these animals?
qwen,okvqa_val_01256,comparison_reasoning,williams,one_region_dominated,0,one_region_dominated,-0.3125,0.375,0.6875,0.375,10.125,annotation_or_diagnostic_only,Which fashion conscious sisters are famous for playing this game?
qwen,okvqa_val_01672,comparison_reasoning,mozzarella,mixed_or_unclear,1,one_region_dominated,1.1875,3.875,2.6875,3.125,6.5,annotation_or_diagnostic_only,What is the most common kind of cheese used in this dish?
qwen,okvqa_val_01960,relation_reasoning,sofa,one_region_dominated,0,one_region_dominated,-1.4375,-1.0625,0.375,-0.4375,5.8125,annotation_or_diagnostic_only,What kind of couch is that?
qwen,okvqa_val_02108,relation_reasoning,richard trevithick,one_region_dominated,0,shortcut_prior_suspected,-1.125,-1.1875,-0.0625,-0.125,0.53125,annotation_or_diagnostic_only,Who invented the transportation device in this picture?
qwen,okvqa_val_04586,local_context_inference,star war,shortcut_prior_suspected,0,shortcut_prior_suspected,-4.6875,-5.375,-0.6875,-5.3125,-3.6875,annotation_or_diagnostic_only,What other movie franchises has lego made playsets based on?
qwen,okvqa_val_1171125,comparison_reasoning,polyester,shortcut_prior_suspected,0,shortcut_prior_suspected,-0.4375,-1.4375,-1.0,-1.3125,-1.5,annotation_or_diagnostic_only,Which material is used for making the sofa set shown in this picture?
qwen,okvqa_val_1295955,text_object_binding,protest,one_region_dominated,0,one_region_dominated,-0.375,0.25,0.625,0.375,11.609375,annotation_or_diagnostic_only,Why would this person be holding this sign?
qwen,okvqa_val_1686835,comparison_reasoning,headphone,one_region_dominated,0,one_region_dominated,-0.40625,2.125,2.53125,1.75,1.4375,annotation_or_diagnostic_only,Which item shown here is a compound word derived from the name of the human cranium and the telephone?
qwen,okvqa_val_258605,comparison_reasoning,cook,multi_evidence_supported,1,mixed_or_unclear,2.0625,2.125,0.0625,1.4375,8.3125,annotation_or_diagnostic_only,What is this room mostly used for?
