group,model,label,n,target_effect_mean,target_positive_frac,target_minus_wrong_mean,rank_effect_mean
model,gemma,gemma,32,5.0963287353515625,0.78125,7.2838287353515625,6796.78125
model,qwen,qwen,96,1.0904947916666667,0.75,-1.5618489583333333,40.458333333333336
sample_id,gemma,okvqa_val_00893,16,8.134063720703125,0.75,13.040313720703125,13014.8125
sample_id,gemma,okvqa_val_258605,16,2.05859375,0.8125,1.52734375,578.75
sample_id,qwen,okvqa_val_00893,48,0.8411458333333334,0.6875,-3.5533854166666665,64.0
sample_id,qwen,okvqa_val_258605,48,1.33984375,0.8125,0.4296875,16.916666666666668
mask_condition,gemma,answer_mask,8,4.0703125,0.75,5.4765625,3044.25
mask_condition,gemma,shifted_mask,8,7.88531494140625,1.0,11.04156494140625,17008.875
mask_condition,gemma,shuffled_mask,8,4.359375,0.625,7.140625,4089.75
mask_condition,gemma,union_mask,8,4.0703125,0.75,5.4765625,3044.25
mask_condition,qwen,answer_mask,24,1.5182291666666667,0.75,-0.9713541666666666,48.416666666666664
mask_condition,qwen,shifted_mask,24,1.6067708333333333,0.875,-1.5,65.79166666666667
mask_condition,qwen,shuffled_mask,24,-0.28125,0.625,-2.8046875,-0.7916666666666666
mask_condition,qwen,union_mask,24,1.5182291666666667,0.75,-0.9713541666666666,48.416666666666664
position_group,gemma,answer_adjacent,8,-0.122955322265625,0.5,0.189544677734375,125.0
position_group,gemma,top_hidden_delta,8,0.242340087890625,0.625,4.554840087890625,-2296.0
position_group,gemma,visual+answer,8,10.156402587890625,1.0,12.218902587890625,14685.125
position_group,gemma,visual_span,8,10.109527587890625,1.0,12.172027587890625,14673.0
position_group,qwen,answer_adjacent,24,0.20442708333333334,0.6666666666666666,0.88671875,33.041666666666664
position_group,qwen,top_hidden_delta,24,-0.07682291666666667,0.5,-2.97265625,11.416666666666666
position_group,qwen,visual+answer,24,1.9244791666666667,0.875,-2.1432291666666665,59.791666666666664
position_group,qwen,visual_span,24,2.3098958333333335,0.9583333333333334,-2.0182291666666665,57.583333333333336
